Customer Name,Ventura Foods Fort Worth Plant #60
Address,1100 Defiel Road,Saginaw
Contact,Maxine Baker
GLID (Payer) / GLID (Sold To),6100788687,6100788687
Invoice Number,5018325892
Invoice Date,11.11.2023
Invoice Period - From/To,05.11.2023,11.11.2023
Period Days,7
,

Product Name,Product Code,Paying Opening Balance,Paying Closing Balance,Product Days,,,,
48x 40 CHEP Pallets,04001,13588,13908,97696.,,,,


UMI,Product Code,Sender Global Id,Sender External Code,Sender Name,Sender Town,Sender Country,Receiver Global Id,Receiver External Code,Receiver Name,Receiver Town,Receiver Country,Quantity,Transaction Status,Reason Code,Reason Description,Reference1,Reference2,Reference3,Date of Notification,Movement Date,Pricing Date,Transaction Type,Corr/Rev,,,,,,,,,,,,,,
02023134199309,04001,4000075068,U0LQ,Clorox Co - DHL Roanoke SE RDC,ROANOKE,US,6100788687,C0001385140,Ventura Foods Fort Worth Plant,Saginaw,US,7,C,,,5035380800001,0095366356,9598757,09.11.2023,08.11.2023,08.11.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023133065792,04001,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,3,C,,,6603569200245,20861854,184495,07.11.2023,02.11.2023,02.11.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023133566838,04001,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,3,C,,,6603570400301,20861957,184505,08.11.2023,07.11.2023,07.11.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023134558797,04001,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,7,C,,,6603571200176,20862083,184506,09.11.2023,09.11.2023,09.11.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023134558788,04001,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,2,C,,,6603571200186,20862095,184507,09.11.2023,09.11.2023,09.11.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023135153385,04001,6100762810,6100762810,VF Chambersburg Plant #25,Chambersburg,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,5,C,,,6603571800033,02554871,184500,11.11.2023,10.11.2023,10.11.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023133065965,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,12,C,,,6603569200152,06031119,82690,07.11.2023,03.11.2023,03.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023133065964,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,2,C,,,6603569200151,06031116,82685,07.11.2023,03.11.2023,03.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023133065963,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,4,C,,,6603569200150,06031115,82686,07.11.2023,03.11.2023,03.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023133065962,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,2,C,,,6603569200149,06031114,82688,07.11.2023,03.11.2023,03.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
