R55CHEPSUM,,CHEP Summarization Report,,,,11/13/2023,12:24:44,,,,,,
VF075001,,,,,,Page -,1,,,,,,
,,,,,,,,,,,,,.
,,,,,,,Customer CHEP,,,,,,
Branch Plant,Legacy Order Number,JDE Order Number,JDE BOL#,Customer PO#,Pallet Type,Description,Number,Number Of Pallets,Actual Ship Date,Receipt Date,,,
         010,,9580260,,,CBP,CHEP BLOCK (MARK 55),,8,,10/4/2023,,,
         010,,9580262,,,CBP,CHEP BLOCK (MARK 55),,14,,10/3/2023,,,
         010,,9580275,,,CBP,CHEP BLOCK (MARK 55),,21,,10/5/2023,,,
         010,,9588472,,,CBP,CHEP BLOCK (MARK 55),,24,,10/27/2023,,,
         010,,9588473,,,CBP,CHEP BLOCK (MARK 55),,8,,10/18/2023,,,
         010,1007882,11779632,15877617,11030331,CBP,CHEP BLOCK (MARK 55),6100151418,12,10/2/2023,,,,
         010,1008449,11787740,15877649,864717,CBP,CHEP BLOCK (MARK 55),6100690577,26,10/2/2023,,,,
         010,1009029,11798419,15878888,299287,CBP,CHEP BLOCK (MARK 55),6100100580,21,10/5/2023,,,,
         010,1009030,11798420,15880716,299290,CBP,CHEP BLOCK (MARK 55),6100100580,21,10/12/2023,,,,
         010,1009031,11798421,15880408,299291,CBP,CHEP BLOCK (MARK 55),6100100580,21,10/11/2023,,,,
         010,1009035,11798530,15878840,299312,CBP,CHEP BLOCK (MARK 55),6100100580,18,10/5/2023,,,,
         010,1009364,11803866,15879827,29510,CBP,CHEP BLOCK (MARK 55),109527,20,10/10/2023,,,,
         010,1009366,11803908,15877574,97030,CBP,CHEP BLOCK (MARK 55),110677,20,10/2/2023,,,,
         010,1009367,11803909,15877708,97031,CBP,CHEP BLOCK (MARK 55),110677,19,10/2/2023,,,,
         010,1009368,11803910,15878013,97032,CBP,CHEP BLOCK (MARK 55),110677,20,10/3/2023,,,,
         010,1009535,11806243,15878071,41X719291,CBP,CHEP BLOCK (MARK 55),4000393638,26,10/3/2023,,,,
         010,1009540,11806247,15879487,41X719369,CBP,CHEP BLOCK (MARK 55),4000393638,23,10/9/2023,,,,
         010,1009536,11806249,15880807,41X719308,CBP,CHEP BLOCK (MARK 55),4000393638,24,10/12/2023,,,,
         010,1009537,11806254,15880826,41X719316,CBP,CHEP BLOCK (MARK 55),4000393638,20,10/12/2023,,,,
         010,1009541,11806255,15883612,41X719389,CBP,CHEP BLOCK (MARK 55),4000393638,17,10/24/2023,,,,
         010,1009582,11806776,15878271,41X720869,CBP,CHEP BLOCK (MARK 55),210934,23,10/3/2023,,,,
         010,1009565,11806779,15878463,41X720478,CBP,CHEP BLOCK (MARK 55),4000393638,8,10/4/2023,,,,
         010,1009583,11806780,15878590,41X720873,CBP,CHEP BLOCK (MARK 55),210934,25,10/4/2023,,,,
