"Ship yyyymm","Ship date","Ship location","Order number","Po number","Bill of lading","Loc bol#","Master bill 10","Ship from location","Ship from address","Ship from city","Ship from state","Ship from zip","Type of sale","Customer","Ship to name","Ship to address","Ship to city","Ship to state","Ship to zip","Chep","Ww","Other","Header plt","Calc plt","Gross weight","Default pallet type","Master bill stop"
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-10","2023/10/02",60   ,"060-09164","81696     ",30226  ,"X06030226 ","0604039385","060-Ft. Worth       ","1100 Defiel Road         ","SAGINAW         ","TX",761791216  ,"1","36506-002","VENTURA FOODS B/T LOC 208","2554 DOWING DRIVE        ","FORT WORTH      ","TX","76106          ",0      ,0      ,0      ,19     ,19     ,31616    ,"**",1
"2023-10","2023/10/02",60   ,"060-09165","81697     ",30231  ,"X06030231 ","0604039384","060-Ft. Worth       ","1100 Defiel Road         ","SAGINAW         ","TX",761791216  ,"1","36506-002","VENTURA FOODS B/T LOC 208","2554 DOWING DRIVE        ","FORT WORTH      ","TX","76106          ",0      ,0      ,0      ,24     ,24     ,40170    ,"**",1
"2023-10","2023/10/02",60   ,"060-09166","81698     ",30233  ,"X06030233 ","0604039388","060-Ft. Worth       ","1100 Defiel Road         ","SAGINAW         ","TX",761791216  ,"1","36506-002","VENTURA FOODS B/T LOC 208","2554 DOWING DRIVE        ","FORT WORTH      ","TX","76106          ",20     ,0      ,0      ,23     ,23     ,40613    ,"**",1
"2023-10","2023/10/02",60   ,"060-09167","81699     ",30232  ,"X06030232 ","0604039386","060-Ft. Worth       ","1100 Defiel Road         ","SAGINAW         ","TX",761791216  ,"1","36506-002","VENTURA FOODS B/T LOC 208","2554 DOWING DRIVE        ","FORT WORTH      ","TX","76106          ",14     ,0      ,0      ,24     ,24     ,44161    ,"**",1
"2023-10","2023/10/02",60   ,"060-09168","81700     ",30234  ,"X06030234 ","0604039387","060-Ft. Worth       ","1100 Defiel Road         ","SAGINAW         ","TX",761791216  ,"1","36506-002","VENTURA FOODS B/T LOC 208","2554 DOWING DRIVE        ","FORT WORTH      ","TX","76106          ",5      ,0      ,0      ,24     ,24     ,40350    ,"**",1
"2023-10","2023/10/02",60   ,"060-09169","81701     ",30235  ,"X06030235 ","0604039389","060-Ft. Worth       ","1100 Defiel Road         ","SAGINAW         ","TX",761791216  ,"1","36506-002","VENTURA FOODS B/T LOC 208","2554 DOWING DRIVE        ","FORT WORTH      ","TX","76106          ",0      ,0      ,0      ,16     ,16     ,41664    ,"**",1
"2023-10","2023/10/02",60   ,"060-09170","81702     ",30236  ,"X06030236 ","0604039390","060-Ft. Worth       ","1100 Defiel Road         ","SAGINAW         ","TX",761791216  ,"1","36506-002","VENTURA FOODS B/T LOC 208","2554 DOWING DRIVE        ","FORT WORTH      ","TX","76106          ",11     ,0      ,0      ,20     ,20     ,44040    ,"**",1
"2023-10","2023/10/02",60   ,"060-09171","81703     ",30237  ,"X06030237 ","0604039391","060-Ft. Worth       ","1100 Defiel Road         ","SAGINAW         ","TX",761791216  ,"1","36506-002","VENTURA FOODS B/T LOC 208","2554 DOWING DRIVE        ","FORT WORTH      ","TX","76106          ",5      ,0      ,0      ,21     ,21     ,41218    ,"**",1
