Customer Name,Ventura Foods Fort Worth Plant #60
Address,1100 Defiel Road,Saginaw
Contact,
GLID (Payer) / GLID (Sold To),6100788687,6100788687
Invoice Number,5018231913
Invoice Date,07.10.2023
Invoice Period - From/To,01.10.2023,07.10.2023
Period Days,7
,

Product Name,Product Code,Paying Opening Balance,Paying Closing Balance,Product Days,,,,
48x 40 CHEP Pallets,04001,13225,12480,91620.,,,,


UMI,Product Code,Sender Global Id,Sender External Code,Sender Name,Sender Town,Sender Country,Receiver Global Id,Receiver External Code,Receiver Name,Receiver Town,Receiver Country,Quantity,Transaction Status,Reason Code,Reason Description,Reference1,Reference2,Reference3,Date of Notification,Movement Date,Pricing Date,Transaction Type,Corr/Rev,,,,,,,,,,,,,,
02023118831726,04001,4000352274,4000352274,McCormick - Springfield - Fren,Springfield,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,10,C,,,8998131318804,44404761,9567620 OP,04.10.2023,25.09.2023,25.09.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023118478542,04001,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,14,C,,,6603559400343,20860400,184461,04.10.2023,03.10.2023,03.10.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023085039223,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000207556,02440040,Oxford Paint & Hardware,Oxford,US,1,S,002,Closed Location,6603541400205,06027978,ABBYSARK01,18.07.2023,13.07.2023,,,,,,,,,,,,,,,,,
02023117971986,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,15,C,,,6603558400171,06030205,81675,03.10.2023,29.09.2023,29.09.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023117971985,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603558400170,06030204,81674,03.10.2023,29.09.2023,29.09.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023117971984,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,21,C,,,6603558400169,06030203,81673,03.10.2023,29.09.2023,29.09.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023117972018,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,12,C,,,6603558400181,06030224,81679,03.10.2023,30.09.2023,30.09.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023117972017,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603558400182,06030225,81676,03.10.2023,30.09.2023,30.09.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023117971995,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,21,C,,,6603558400180,06030223,81677,03.10.2023,30.09.2023,30.09.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023117971994,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,19,C,,,6603558400179,06030222,81680,03.10.2023,30.09.2023,30.09.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023117971993,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,4,C,,,6603558400178,06030220,81681,03.10.2023,30.09.2023,30.09.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023117971992,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,7,C,,,6603558400177,06030219,81682,03.10.2023,30.09.2023,30.09.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023117971991,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,2,C,,,6603558400176,06030217,81684,03.10.2023,30.09.2023,30.09.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023117971990,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,12,C,,,6603558400175,06030216,81685,03.10.2023,30.09.2023,30.09.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023117971989,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,19,C,,,6603558400174,06030212,81688,03.10.2023,30.09.2023,30.09.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023117971988,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,10,C,,,6603558400173,06030209,81695,03.10.2023,30.09.2023,30.09.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023117971987,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,21,C,,,6603558400172,06030207,81693,03.10.2023,30.09.2023,30.09.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478837,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,11,C,,,6603559400251,06030258,81725,04.10.2023,02.10.2023,02.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478836,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,5,C,,,6603559400252,06030259,81726,04.10.2023,02.10.2023,02.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478835,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,8,C,,,6603559400253,06030260,81729,04.10.2023,02.10.2023,02.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478834,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,10,C,,,6603559400254,06030261,81727,04.10.2023,02.10.2023,02.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478810,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603559400250,06030257,81722,04.10.2023,02.10.2023,02.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478809,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,13,C,,,6603559400249,06030256,81721,04.10.2023,02.10.2023,02.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478808,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603559400248,06030255,81720,04.10.2023,02.10.2023,02.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
