Customer Name,Ventura Foods Fort Worth Plant #60
Address,1100 Defiel Road,Saginaw
Contact,Maxine Baker
GLID (Payer) / GLID (Sold To),6100788687,6100788687
Invoice Number,5018365806
Invoice Date,25.11.2023
Invoice Period - From/To,19.11.2023,25.11.2023
Period Days,7
,

Product Name,Product Code,Paying Opening Balance,Paying Closing Balance,Product Days,,,,
48x 40 CHEP Pallets,04001,13965,13817,97464.,,,,


UMI,Product Code,Sender Global Id,Sender External Code,Sender Name,Sender Town,Sender Country,Receiver Global Id,Receiver External Code,Receiver Name,Receiver Town,Receiver Country,Quantity,Transaction Status,Reason Code,Reason Description,Reference1,Reference2,Reference3,Date of Notification,Movement Date,Pricing Date,Transaction Type,Corr/Rev,,,,,,,,,,,,,,
02023140616298,04001,4000075068,U0LQ,Clorox Co - DHL Roanoke SE RDC,ROANOKE,US,6100788687,C0001385140,Ventura Foods Fort Worth Plant,Saginaw,US,15,C,,,5035375400001,0095400228,9601094,24.11.2023,22.11.2023,22.11.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023139084018,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,4,C,,,6603574300191,06031448,83047,21.11.2023,17.11.2023,17.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084017,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,5,C,,,6603574300192,06031450,83039,21.11.2023,18.11.2023,18.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084016,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,1,C,,,6603574300193,06031451,83037,21.11.2023,18.11.2023,18.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084015,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,7,C,,,6603574300194,06031452,83040,21.11.2023,18.11.2023,18.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084014,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603574300195,06031453,83054,21.11.2023,18.11.2023,18.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084013,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,3,C,,,6603574300196,06031454,83053,21.11.2023,18.11.2023,18.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084012,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,7,C,,,6603574300197,06031456,83072,21.11.2023,18.11.2023,18.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084011,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,4,C,,,6603574300198,06031460,83057,21.11.2023,18.11.2023,18.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139608978,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,16,C,,,6603574800235,06031498,83096,22.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139608977,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,15,C,,,6603574800234,06031497,83095,22.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139608976,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,12,C,,,6603574800233,06031496,83094,22.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139097085,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,16,C,,,6603574400032,06031494,83092,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084036,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,18,C,,,6603574300223,06031493,83090,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084035,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,13,C,,,6603574300222,06031492,83089,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084033,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,13,C,,,6603574300221,06031491,83088,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084032,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,7,C,,,6603574300220,06031490,83087,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084031,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,13,C,,,6603574300219,06031489,83081,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084030,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,15,C,,,6603574300218,06031486,83084,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
