R55CHEPSUM,,CHEP Summarization Report,,,,11/30/2023,12:43:08,,,,,,
VF060001,,,,,,Page -,1,,,,,,
,,,,,,,,,,,,,.
,,,,,,,Customer CHEP,,,,,,
Branch Plant,Legacy Order Number,JDE Order Number,JDE BOL#,Customer PO#,Pallet Type,Description,Number,Number Of Pallets,Actual Ship Date,Receipt Date,,,
60,,9561147,,,CBP,CHEP BLOCK (MARK 55),,16,,10/3/2023,,,
60,,9563586,,,CBP,CHEP BLOCK (MARK 55),,22,,10/12/2023,,,
60,,9572154,,,CBP,CHEP BLOCK (MARK 55),,4,,11/2/2023,,,
60,,9579554,,,CBP,CHEP BLOCK (MARK 55),,7,,11/6/2023,,,
60,,9579619,,,CBP,CHEP BLOCK (MARK 55),,1,,10/13/2023,,,
60,,9580369,,,CBP,CHEP BLOCK (MARK 55),,22,,10/20/2023,,,
60,,9580370,,,CBP,CHEP BLOCK (MARK 55),,22,,11/13/2023,,,
60,,9590922,,,CBP,CHEP BLOCK (MARK 55),,2,,10/10/2023,,,
60,,9594817,,,CBP,CHEP BLOCK (MARK 55),,2,,10/30/2023,,,
60,,9595511,,,CBP,CHEP BLOCK (MARK 55),,4,,10/24/2023,,,
60,,9595623,,,CBP,CHEP BLOCK (MARK 55),,4,,11/16/2023,,,
60,,9595624,,,CBP,CHEP BLOCK (MARK 55),,3,,11/16/2023,,,
60,,9598757,,,CBP,CHEP BLOCK (MARK 55),,7,,11/10/2023,,,
60,6009166,11838714,15877492,81698,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/2/2023,,,,
60,6009167,11838715,15877493,81699,CBP,CHEP BLOCK (MARK 55),4000445826,14,10/2/2023,,,,
60,6009168,11838716,15877512,81700,CBP,CHEP BLOCK (MARK 55),4000445826,5,10/2/2023,,,,
60,6009170,11838720,15877528,81702,CBP,CHEP BLOCK (MARK 55),4000445826,11,10/2/2023,,,,
60,6009171,11838721,15877531,81703,CBP,CHEP BLOCK (MARK 55),4000445826,3,10/2/2023,,,,
60,6009171,11838721,15877531,81703,CXY,CHEP CHEMICAL PALLET,4000445826,2,10/2/2023,,,,
60,6009172,11838723,15877563,81704,CBP,CHEP BLOCK (MARK 55),4000445826,5,10/2/2023,,,,
60,6009172,11838723,15877563,81704,CXY,CHEP CHEMICAL PALLET,4000445826,9,10/2/2023,,,,
60,6009173,11838725,15877599,81705,CBP,CHEP BLOCK (MARK 55),4000445826,6,10/2/2023,,,,
60,6009173,11838725,15877599,81705,CXY,CHEP CHEMICAL PALLET,4000445826,6,10/2/2023,,,,
60,6009174,11838726,15877612,81706,CBP,CHEP BLOCK (MARK 55),4000445826,3,10/2/2023,,,,
60,6009174,11838726,15877612,81706,CXY,CHEP CHEMICAL PALLET,4000445826,2,10/2/2023,,,,
60,6009175,11838727,15877640,81707,CBP,CHEP BLOCK (MARK 55),4000445826,5,10/2/2023,,,,
60,6009175,11838727,15877640,81707,CXY,CHEP CHEMICAL PALLET,4000445826,6,10/2/2023,,,,
60,6009176,11838728,15877679,81708,CBP,CHEP BLOCK (MARK 55),4000445826,3,10/2/2023,,,,
60,6009176,11838728,15877679,81708,CXY,CHEP CHEMICAL PALLET,4000445826,9,10/2/2023,,,,
60,6009177,11838729,15877667,81709,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/2/2023,,,,
60,6009179,11838732,15877703,81711,CBP,CHEP BLOCK (MARK 55),4000445826,7,10/2/2023,,,,
60,6009179,11838732,15877703,81711,CXY,CHEP CHEMICAL PALLET,4000445826,8,10/2/2023,,,,
